Predicted,Actual,Diff
-3105.5499089538534,10847,13952.549908953853
81885.55732433677,123899,42013.44267566323
142824.88991509593,213365,70540.11008490407
27656.878009779866,70050,42393.121990220134
97066.60455928824,40249,-56817.604559288244
223547.68639452616,177699,-45848.68639452616
28187.723894492985,11028,-17159.723894492985
37539.99928936707,54900,17360.00071063293
87515.43867099397,229906,142390.56132900604
63083.248494475745,93950,30866.751505524255
20443.242390147087,1246,-19197.242390147087
173310.32494597588,59800,-113510.32494597588
122202.13749990336,138250,16047.862500096642
45412.2409669155,15940,-29472.240966915502
56065.9092639789,29025,-27040.9092639789
80761.70205941495,110300,29538.29794058505
43712.52426635909,57185,13472.47573364091
25128.174665886323,3872,-21256.174665886323
109713.87275859492,82163,-27550.872758594924
62748.275675776924,96246,33497.724324223076
73545.56878941478,37506,-36039.568789414785
177875.71261293444,41132,-136743.71261293444
44554.70600878881,96163,51608.29399121119
-18564.505228597813,2072,20636.505228597813
145867.72241997925,14500,-131367.72241997925
44806.21949191991,115043,70236.78050808009
-19945.00970305059,9300,29245.00970305059
92718.71802149524,80100,-12618.718021495239
109261.79003989969,24499,-84762.79003989969
51168.571079048226,11112,-40056.571079048226
103677.86356580787,32999,-70678.86356580787
55639.25964567033,4600,-51039.25964567033
84302.81313632769,35074,-49228.81313632769
18510.768405582847,-930,-19440.768405582847
145386.5587032283,177600,32213.441296771693
183289.21485422156,145749,-37540.21485422156
-14235.566085311117,6416,20651.56608531112
232923.71614764293,282300,49376.28385235707
142024.04146900246,64179,-77845.04146900246
20444.79663443132,5513,-14931.79663443132
41330.07726689882,43999,2668.922733101179
226398.5452342125,576698,350299.45476578746
95923.06022960843,91338,-4585.060229608425
40116.80075668632,17550,-22566.800756686323
221441.50796194552,397000,175558.49203805448
61152.206197072606,6235,-54917.206197072606
64126.40339453456,69200,5073.596605465442
79381.19758496218,159349,79967.80241503782
-12819.179716780554,0,12819.179716780554
191423.4559402534,588048,396624.5440597466
268614.38672246196,369425,100810.61327753804
58571.340531517155,54670,-3901.340531517155
48095.81708570155,117180,69084.18291429845
252309.48422258865,717500,465190.51577741135
65390.04599498783,18200,-47190.04599498783
61367.771201324154,26299,-35068.771201324154
32470.16222273918,53910,21439.83777726082
574.0966772104985,-1500,-2074.0966772104985
35175.23605775871,69269,34093.76394224129
52000.647233433614,15590,-36410.647233433614
78655.52362683434,145900,67244.47637316566
195374.40844959515,31762,-163612.40844959515
45457.794161499594,50140,4682.205838500406
111842.22262520231,34840,-77002.22262520231
137341.4984138809,163028,25686.50158611909
109976.92553064656,231750,121773.07446935344
92916.80194165523,51100,-41816.80194165523
94356.20467760887,145300,50943.79532239113
148141.12881680016,46000,-102141.12881680016
44554.70600878881,83244,38689.29399121119
145701.08235782906,96359,-49342.08235782906
58862.3399337859,50000,-8862.339933785901
45182.87863159266,12475,-32707.878631592663
61158.68268084871,35649,-25509.68268084871
136333.6815207918,238625,102291.31847920819
80071.44982218856,111800,31728.55017781144
135172.72902827588,134349,-823.7290282758768
226998.9475806581,158603,-68395.9475806581
108137.33104269247,112550,4412.668957307527
35791.36818686851,6103,-29688.36818686851
74876.24303139045,68925,-5951.243031390448
76256.74750584322,146600,70343.25249415678
-17264.193571250045,6000,23264.193571250045
